"age","job","marital","default","balance","housing","loan","duration","y"
58,"management","married","no",2143,"yes","no",261,"no"
44,"technician","single","no",29,"yes","no",151,"no"
33,"entrepreneur","married","no",2,"yes","yes",76,"no"
47,"blue-collar","married","no",1506,"yes","no",92,"no"
35,"management","married","no",231,"yes","no",139,"no"
28,"management","single","no",447,"yes","yes",217,"no"
42,"entrepreneur","divorced","yes",2,"yes","no",380,"no"
58,"retired","married","no",121,"yes","no",50,"no"
43,"technician","single","no",593,"yes","no",55,"no"
41,"admin.","divorced","no",270,"yes","no",222,"no"
29,"admin.","single","no",390,"yes","no",137,"no"
53,"technician","married","no",6,"yes","no",517,"no"
58,"technician","married","no",71,"yes","no",71,"no"
57,"services","married","no",162,"yes","no",174,"no"
51,"retired","married","no",229,"yes","no",353,"no"
45,"admin.","single","no",13,"yes","no",98,"no"
57,"blue-collar","married","no",52,"yes","no",38,"no"
60,"retired","married","no",60,"yes","no",219,"no"
33,"services","married","no",0,"yes","no",54,"no"
28,"blue-collar","married","no",723,"yes","yes",262,"no"
56,"management","married","no",779,"yes","no",164,"no"
32,"blue-collar","single","no",23,"yes","yes",160,"no"
25,"services","married","no",50,"yes","no",342,"no"
40,"retired","married","no",0,"yes","yes",181,"no"
44,"admin.","married","no",-372,"yes","no",172,"no"
39,"management","single","no",255,"yes","no",296,"no"
52,"entrepreneur","married","no",113,"yes","yes",127,"no"
46,"management","single","no",-246,"yes","no",255,"no"
36,"technician","single","no",265,"yes","yes",348,"no"
57,"technician","married","no",839,"no","yes",225,"no"
49,"management","married","no",378,"yes","no",230,"no"
60,"admin.","married","no",39,"yes","yes",208,"no"
59,"blue-collar","married","no",0,"yes","no",226,"no"
51,"management","married","no",10635,"yes","no",336,"no"
57,"technician","divorced","no",63,"yes","no",242,"no"
25,"blue-collar","married","no",-7,"yes","no",365,"no"
53,"technician","married","no",-3,"no","no",1666,"no"
36,"admin.","divorced","no",506,"yes","no",577,"no"
37,"admin.","single","no",0,"yes","no",137,"no"
44,"services","divorced","no",2586,"yes","no",160,"no"
50,"management","married","no",49,"yes","no",180,"no"
60,"blue-collar","married","no",104,"yes","no",22,"no"
54,"retired","married","no",529,"yes","no",1492,"no"
58,"retired","married","no",96,"yes","no",616,"no"
36,"admin.","single","no",-171,"yes","no",242,"no"
58,"self-employed","married","no",-364,"yes","no",355,"no"
44,"technician","married","no",0,"yes","no",225,"no"
55,"technician","divorced","no",0,"no","no",160,"no"
29,"management","single","no",0,"yes","no",363,"no"
54,"blue-collar","married","no",1291,"yes","no",266,"no"
48,"management","divorced","no",-244,"yes","no",253,"no"
32,"management","married","no",0,"yes","no",179,"no"
42,"admin.","single","no",-76,"yes","no",787,"no"
24,"technician","single","no",-103,"yes","yes",145,"no"
38,"entrepreneur","single","no",243,"no","yes",174,"no"
38,"management","single","no",424,"yes","no",104,"no"
47,"blue-collar","married","no",306,"yes","no",13,"no"
40,"blue-collar","single","no",24,"yes","no",185,"no"
46,"services","married","no",179,"yes","no",1778,"no"
32,"admin.","married","no",0,"yes","no",138,"no"
53,"technician","divorced","no",989,"yes","no",812,"no"
57,"blue-collar","married","no",249,"yes","no",164,"no"
33,"services","married","no",790,"yes","no",391,"no"
49,"blue-collar","married","no",154,"yes","no",357,"no"
51,"management","married","no",6530,"yes","no",91,"no"
60,"retired","married","no",100,"no","no",528,"no"
59,"management","divorced","no",59,"yes","no",273,"no"
55,"technician","married","no",1205,"yes","no",158,"no"
35,"blue-collar","single","no",12223,"yes","yes",177,"no"
57,"blue-collar","married","no",5935,"yes","yes",258,"no"
31,"services","married","no",25,"yes","yes",172,"no"
54,"management","married","no",282,"yes","yes",154,"no"
55,"blue-collar","married","no",23,"yes","no",291,"no"
43,"technician","married","no",1937,"yes","no",181,"no"
53,"technician","married","no",384,"yes","no",176,"no"
44,"blue-collar","married","no",582,"no","yes",211,"no"
55,"services","divorced","no",91,"no","no",349,"no"
49,"services","divorced","no",0,"yes","yes",272,"no"
55,"services","divorced","yes",1,"yes","no",208,"no"
45,"admin.","single","no",206,"yes","no",193,"no"
47,"services","divorced","no",164,"no","no",212,"no"
42,"technician","single","no",690,"yes","no",20,"no"
59,"admin.","married","no",2343,"yes","no",1042,"yes"
46,"self-employed","married","no",137,"yes","yes",246,"no"
51,"blue-collar","married","no",173,"yes","no",529,"no"
56,"admin.","married","no",45,"no","no",1467,"yes"
41,"technician","married","no",1270,"yes","no",1389,"yes"
46,"management","divorced","no",16,"yes","yes",188,"no"
57,"retired","married","no",486,"yes","no",180,"no"
42,"management","single","no",50,"no","no",48,"no"
30,"technician","married","no",152,"yes","yes",213,"no"
60,"admin.","married","no",290,"yes","no",583,"no"
60,"blue-collar","married","no",54,"yes","no",221,"no"
57,"entrepreneur","divorced","no",-37,"no","no",173,"no"
36,"management","married","no",101,"yes","yes",426,"no"
55,"blue-collar","married","no",383,"no","no",287,"no"
60,"retired","married","no",81,"yes","no",101,"no"
39,"technician","married","no",0,"yes","no",203,"no"
46,"management","married","no",229,"yes","no",197,"no"
44,"blue-collar","married","no",-674,"yes","no",257,"no"
53,"blue-collar","married","no",90,"no","no",124,"no"
52,"blue-collar","married","no",128,"yes","no",229,"no"
59,"blue-collar","married","no",179,"yes","no",55,"no"
27,"technician","single","no",0,"yes","no",400,"no"
44,"blue-collar","married","no",54,"yes","no",197,"no"
47,"technician","married","no",151,"yes","no",190,"no"
34,"admin.","married","no",61,"no","yes",21,"no"
59,"retired","single","no",30,"yes","no",514,"no"
45,"management","married","no",523,"yes","no",849,"no"
29,"services","divorced","no",31,"yes","no",194,"no"
46,"technician","divorced","no",79,"no","no",144,"no"
56,"self-employed","married","no",-34,"yes","yes",212,"no"
36,"blue-collar","married","no",448,"yes","no",286,"no"
59,"retired","divorced","no",81,"yes","no",107,"no"
44,"blue-collar","married","no",144,"yes","no",247,"no"
41,"admin.","married","no",351,"yes","no",518,"no"
33,"management","single","no",-67,"yes","no",364,"no"
